Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides UV control-1	Peptides UV-control-2	Peptides UV-control-3	Peptides UV-test-1	Peptides UV-test-2	Razor + unique peptides UV control-1	Razor + unique peptides UV-control-2	Razor + unique peptides UV-control-3	Razor + unique peptides UV-test-1	Razor + unique peptides UV-test-2	Unique peptides UV control-1	Unique peptides UV-control-2	Unique peptides UV-control-3	Unique peptides UV-test-1	Unique peptides UV-test-2	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type UV control-1	Identification type UV-control-2	Identification type UV-control-3	Identification type UV-test-1	Identification type UV-test-2	Sequence coverage UV control-1 [%]	Sequence coverage UV-control-2 [%]	Sequence coverage UV-control-3 [%]	Sequence coverage UV-test-1 [%]	Sequence coverage UV-test-2 [%]	Intensity	Intensity UV control-1	Intensity UV-control-2	Intensity UV-control-3	Intensity UV-test-1	Intensity UV-test-2	LFQ intensity UV control-1	LFQ intensity UV-control-2	LFQ intensity UV-control-3	LFQ intensity UV-test-1	LFQ intensity UV-test-2	MS/MS count UV control-1	MS/MS count UV-control-2	MS/MS count UV-control-3	MS/MS count UV-test-1	MS/MS count UV-test-2	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
ENSMODG00000014976|ENSMODT00000019066	ENSMODG00000014976|ENSMODT00000019066	1	1	1	ENSMODG00000014976|ENSMODT00000019066	1	1	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	1.1	1.1	1.1	92.856	807	807	0	6.0803		By MS/MS	By MS/MS			0	1.1	1.1	0	0	4736100	0	3027600	1708500	0	0	0	41019	0	0	0	0	2	1	0	0	3				212	344	True	372	1017;1018;1019	657;658;659	658	120	386

ENSMODG00000015026|ENSMODT00000019128	ENSMODG00000015026|ENSMODT00000019128	1	1	1	ENSMODG00000015026|ENSMODT00000019128	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	2.5	2.5	2.5	53.767	478	478	1	-2			By MS/MS			0	0	2.5	0	0	48827	0	0	48827	0	0	0	0	1067.6	0	0	0	0	0	0	0	0	+			213	1222	True	1296	3325	2202	2202	121	277

ENSMODG00000015044|ENSMODT00000019147	ENSMODG00000015044|ENSMODT00000019147	3	3	3	ENSMODG00000015044|ENSMODT00000019147	1	3	3	3	0	3	1	0	0	0	3	1	0	0	0	3	1	0	0	18.5	18.5	18.5	13.632	124	124	0	21.241		By MS/MS	By MS/MS			0	18.5	8.1	0	0	1390500	0	1264300	126230	0	0	0	17129	0	0	0	0	3	1	0	0	4				214	637;638;913	True;True;True	683;684;970	1771;1772;1773;2522	1184;1185;1186;1684	1185;1186;1684		

ENSMODG00000015151|ENSMODT00000019276	ENSMODG00000015151|ENSMODT00000019276	1	1	1	ENSMODG00000015151|ENSMODT00000019276	1	1	1	1	0	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1.2	1.2	1.2	85.886	761	761	0	6.3343		By MS/MS	By matching	By matching		0	1.2	1.2	1.2	0	483790	0	243830	93788	146170	0	0	0	0	10585	0	0	1	0	0	0	1				215	416	True	450	1184;1185;1186	770	770		

ENSMODG00000015177|ENSMODT00000019305	ENSMODG00000015177|ENSMODT00000019305	2	2	2	ENSMODG00000015177|ENSMODT00000019305	1	2	2	2	0	2	1	0	1	0	2	1	0	1	0	2	1	0	1	40	40	40	10.849	95	95	0	29.695		By MS/MS	By MS/MS		By matching	0	40	20	0	20	2061600	0	1791900	240340	0	29352	0	23487	6045.6	0	0	0	3	1	0	0	4				216	864;1491	True;True	915;1583	2407;4026;4027;4028;4029;4030	1602;2658;2659;2660	1602;2660		

ENSMODG00000015180|ENSMODT00000019309	ENSMODG00000015180|ENSMODT00000019309	1	1	1	ENSMODG00000015180|ENSMODT00000019309	1	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	3.4	3.4	3.4	53.729	472	472	0	6.954	By MS/MS					3.4	0	0	0	0	88054	88054	0	0	0	0	88054	0	0	0	0	1	0	0	0	0	1				217	220	True	240	657	436	436		

ENSMODG00000015605|ENSMODT00000019828	ENSMODG00000015605|ENSMODT00000019828	38	38	38	ENSMODG00000015605|ENSMODT00000019828	1	38	38	38	1	38	26	1	1	1	38	26	1	1	1	38	26	1	1	27.9	27.9	27.9	251.17	2275	2275	0	323.31	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	0.9	27.9	18.7	0.4	0.9	61189000	20622	56798000	4273300	60956	36121	0	725620	125720	0	0	0	43	9	1	0	53				218	161;162;212;241;263;328;369;391;403;420;427;440;446;649;665;791;875;954;975;992;1004;1007;1014;1060;1067;1090;1217;1243;1268;1286;1300;1333;1334;1345;1416;1427;1435;1481	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	171;172;232;262;285;286;354;397;422;435;436;454;462;475;481;696;712;841;926;1016;1039;1058;1070;1073;1080;1127;1134;1158;1291;1321;1346;1366;1382;1417;1418;1430;1504;1516;1524;1573	494;495;496;497;498;632;633;716;717;773;774;775;776;959;1070;1123;1148;1149;1150;1191;1192;1193;1216;1217;1251;1252;1253;1270;1271;1272;1799;1800;1801;1835;1836;1837;1838;2232;2233;2436;2437;2611;2612;2663;2664;2697;2725;2726;2732;2733;2747;2878;2879;2902;2903;2966;2967;3316;3317;3384;3385;3434;3435;3487;3534;3535;3618;3619;3620;3621;3662;3838;3882;3883;3900;3998	321;322;323;419;420;473;474;509;510;511;625;692;731;748;749;774;775;792;812;813;824;825;1206;1207;1229;1230;1487;1620;1748;1789;1811;1832;1833;1836;1837;1846;1917;1926;1969;2196;2241;2242;2278;2311;2336;2387;2388;2389;2390;2419;2525;2554;2567;2639	322;323;420;473;511;625;692;731;748;774;792;813;824;1207;1230;1487;1620;1748;1789;1811;1833;1836;1846;1917;1926;1969;2196;2242;2278;2311;2336;2388;2390;2419;2525;2554;2567;2639	122;123	124;468

ENSMODG00000015729|ENSMODT00000019979	ENSMODG00000015729|ENSMODT00000019979	2	2	2	ENSMODG00000015729|ENSMODT00000019979	1	2	2	2	0	2	1	0	0	0	2	1	0	0	0	2	1	0	0	44.9	44.9	44.9	8.4514	78	78	0	30.088		By MS/MS	By matching			0	44.9	20.5	0	0	1133400	0	1073900	59482	0	0	0	14550	0	0	0	0	2	0	0	0	2				219	459;1366	True;True	494;1453	1297;1298;3715	843;2450	843;2450		

ENSMODG00000015807|ENSMODT00000020079;ENSMODG00000013943|ENSMODT00000017757	ENSMODG00000015807|ENSMODT00000020079	11;2	11;2	11;2	ENSMODG00000015807|ENSMODT00000020079	2	11	11	11	1	11	10	4	4	1	11	10	4	4	1	11	10	4	4	86.7	86.7	86.7	16.646	150	150;197	0	166.42	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	8	86.7	79.3	27.3	25.3	56843000	13617	40690000	14966000	678260	495360	0	451780	336070	74835	138860	0	10	9	2	1	22				220	90;255;283;320;664;703;737;903;1123;1363;1397	True;True;True;True;True;True;True;True;True;True;True	94;277;307;346;711;752;786;959;1195;1449;1450;1484;1485	256;257;258;259;755;756;833;834;933;934;935;936;937;1833;1834;1958;1959;1960;1961;2061;2062;2063;2502;2503;3057;3707;3708;3709;3710;3711;3790;3791;3792;3793;3794;3795	168;169;497;498;546;547;612;613;1228;1312;1313;1314;1376;1668;1669;2036;2444;2445;2446;2447;2496;2497	169;498;547;612;1228;1314;1376;1669;2036;2446;2497	124;125	59;104

ENSMODG00000015891|ENSMODT00000020183	ENSMODG00000015891|ENSMODT00000020183	3	3	3	ENSMODG00000015891|ENSMODT00000020183	1	3	3	3	0	3	3	1	0	0	3	3	1	0	0	3	3	1	0	17.6	17.6	17.6	34.255	306	306	0	36.67		By MS/MS	By MS/MS	By matching		0	17.6	17.6	3.9	0	14115000	0	12051000	2024500	39157	0	0	154520	53023	0	0	0	3	2	0	0	5				221	230;547;576	True;True;True	251;586;615	689;690;691;1524;1525;1592;1593	460;1009;1010;1056;1057	460;1009;1056	126	179

ENSMODG00000016051|ENSMODT00000020398	ENSMODG00000016051|ENSMODT00000020398	36	36	36	ENSMODG00000016051|ENSMODT00000020398	1	36	36	36	0	36	2	1	1	0	36	2	1	1	0	36	2	1	1	12.2	12.2	12.2	471.85	4402	4402	0	323.31		By MS/MS	By matching	By matching	By matching	0	12.2	0.7	0.2	0.3	16931000	0	16688000	200090	34616	7874.2	0	226100	4375.1	0	0	0	36	0	0	0	36				222	38;73;75;98;127;169;174;259;394;399;418;500;506;516;527;544;574;605;760;825;831;833;834;835;879;880;883;896;1141;1193;1250;1344;1347;1360;1377;1396	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	39;75;78;102;136;179;184;281;425;430;452;539;545;555;566;583;613;647;809;875;881;883;884;885;930;931;934;949;1215;1267;1328;1429;1432;1446;1464;1483	99;196;197;198;204;282;407;515;523;763;1127;1137;1188;1413;1425;1453;1475;1519;1587;1683;2130;2131;2319;2330;2332;2333;2334;2443;2444;2448;2488;3109;3110;3260;3397;3661;3664;3703;3743;3789	69;135;138;183;257;336;342;504;734;740;772;930;938;955;972;1005;1053;1118;1414;1544;1552;1554;1555;1556;1625;1626;1629;1658;2073;2164;2251;2418;2421;2441;2468;2495	69;135;138;183;257;336;342;504;734;740;772;930;938;955;972;1005;1053;1118;1414;1544;1552;1554;1555;1556;1625;1626;1629;1658;2073;2164;2251;2418;2421;2441;2468;2495		

ENSMODG00000020686|ENSMODT00000026341;ENSMODG00000016081|ENSMODT00000020434	ENSMODG00000020686|ENSMODT00000026341;ENSMODG00000016081|ENSMODT00000020434	4;4	2;2	2;2	ENSMODG00000020686|ENSMODT00000026341;ENSMODG00000016081|ENSMODT00000020434	2	4	2	2	2	4	4	3	2	0	2	2	1	0	0	2	2	1	0	31.2	18.8	18.8	13.701	128	128;128	0	13.773	By matching	By MS/MS	By MS/MS	By matching	By matching	12.5	31.2	31.2	20.3	12.5	18932000	0	16515000	2383100	33429	0	0	225230	50629	0	0	0	2	1	0	0	3				223	62;138;444;572	False;True;True;False	63;147;479;611	163;164;165;166;167;434;435;1262;1263;1264;1577;1578;1579;1580;1581;1582;1583	110;111;112;113;114;115;278;820;821;1049;1050;1051	114;278;821;1051		

ENSMODG00000016089|ENSMODT00000020445	ENSMODG00000016089|ENSMODT00000020445	1	1	1	ENSMODG00000016089|ENSMODT00000020445	1	1	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	5.5	5.5	5.5	17.93	164	164	0	6.0318		By MS/MS	By MS/MS			0	5.5	5.5	0	0	435760	0	319720	116040	0	0	0	0	2537.3	0	0	0	1	1	0	0	2				224	1418	True	1506	3840;3841	2527;2528	2528		

ENSMODG00000016186|ENSMODT00000020585	ENSMODG00000016186|ENSMODT00000020585	1	1	1	ENSMODG00000016186|ENSMODT00000020585	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	7.6	7.6	7.6	18.968	171	171	0	6.0871	By matching	By MS/MS	By MS/MS		By matching	7.6	7.6	7.6	0	7.6	3180300	9372.5	2804500	333850	0	32541	0	0	0	0	6261.3	0	1	1	0	0	2				225	626	True	672	1746;1747;1748;1749	1167;1168	1167		

ENSMODG00000016314|ENSMODT00000020749	ENSMODG00000016314|ENSMODT00000020749	1	1	1	ENSMODG00000016314|ENSMODT00000020749	1	1	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	11.2	11.2	11.2	14.663	134	134	0	6.7963		By MS/MS	By matching			0	11.2	11.2	0	0	365460	0	316620	48841	0	0	0	0	1067.9	0	0	0	1	0	0	0	1				226	58	True	59	153;154	104	104		

ENSMODG00000016401|ENSMODT00000020852	ENSMODG00000016401|ENSMODT00000020852	1	1	1	ENSMODG00000016401|ENSMODT00000020852	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	8.9	8.9	8.9	15.731	135	135	0.0074906	5.8501		By MS/MS				0	8.9	0	0	0	184020	0	184020	0	0	0	0	2493.1	0	0	0	0	1	0	0	0	1				227	953	True	1015	2610	1747	1747		

ENSMODG00000016533|ENSMODT00000021007	ENSMODG00000016533|ENSMODT00000021007	4	4	4	ENSMODG00000016533|ENSMODT00000021007	1	4	4	4	0	4	2	0	0	0	4	2	0	0	0	4	2	0	0	2.2	2.2	2.2	308.54	2838	2838	0	40.566		By MS/MS	By matching			0	2.2	1.1	0	0	1031600	0	948860	82785	0	0	0	11663	3003	0	0	0	4	0	0	0	4				228	11;881;916;1303	True;True;True;True	11;932;973;1385	30;2445;2446;2528;3542;3543	20;1627;1687;2341	20;1627;1687;2341		

ENSMODG00000016556|ENSMODT00000021032	ENSMODG00000016556|ENSMODT00000021032	3	3	3	ENSMODG00000016556|ENSMODT00000021032	1	3	3	3	0	3	2	0	0	0	3	2	0	0	0	3	2	0	0	25.5	25.5	25.5	12.405	110	110	0	41.216		By MS/MS	By matching			0	25.5	18.2	0	0	3967500	0	3809700	157810	0	0	0	50869	4197.2	0	0	0	3	0	0	0	3				229	596;1000;1256	True;True;True	638;1066;1334	1658;1659;2713;3409;3410	1103;1820;2261	1103;1820;2261		

ENSMODG00000016592|ENSMODT00000021077	ENSMODG00000016592|ENSMODT00000021077	5	5	5	ENSMODG00000016592|ENSMODT00000021077	1	5	5	5	0	5	5	0	1	0	5	5	0	1	0	5	5	0	1	45.3	45.3	45.3	14.13	128	128	0	51.285		By MS/MS	By MS/MS		By matching	0	45.3	45.3	0	14.1	24368000	0	17841000	6468900	0	58127	0	240060	143100	0	0	0	4	4	0	0	8				230	25;152;322;711;813	True;True;True;True;True	25;162;348;760;863	65;66;473;474;939;940;941;942;943;1977;1978;1979;1980;2296;2297	47;307;615;616;617;1324;1325;1525	47;307;616;1324;1525		

ENSMODG00000016728|ENSMODT00000030849;ENSMODG00000016728|ENSMODT00000030850;ENSMODG00000016728|ENSMODT00000021255	ENSMODG00000016728|ENSMODT00000030849;ENSMODG00000016728|ENSMODT00000030850;ENSMODG00000016728|ENSMODT00000021255	1;1;1	1;1;1	1;1;1	ENSMODG00000016728|ENSMODT00000030849;ENSMODG00000016728|ENSMODT00000030850;ENSMODG00000016728|ENSMODT00000021255	3	1	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	1.6	1.6	1.6	105.96	910	910;911;916	1	-2		By matching	By MS/MS			0	1.6	1.6	0	0	735180	0	412740	322440	0	0	0	0	7050.2	0	0	0	0	1	0	0	1	+			231	904	True	960	2504;2505	1670	1670	127;128	641;649

ENSMODG00000016732|ENSMODT00000021260	ENSMODG00000016732|ENSMODT00000021260	1	1	1	ENSMODG00000016732|ENSMODT00000021260	1	1	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	1.5	1.5	1.5	119.52	1237	1237	0	7.3045		By matching	By MS/MS			0	1.5	1.5	0	0	760240	0	647260	112980	0	0	0	0	2470.3	0	0	0	0	1	0	0	1				232	513	True	552	1448;1449	952	952		

ENSMODG00000016769|ENSMODT00000021303	ENSMODG00000016769|ENSMODT00000021303	2	2	2	ENSMODG00000016769|ENSMODT00000021303	1	2	2	2	0	2	2	0	0	0	2	2	0	0	0	2	2	0	0	22.2	22.2	22.2	11.983	108	108	0	23.721		By MS/MS	By MS/MS			0	22.2	22.2	0	0	1243800	0	799890	443930	0	0	0	10979	9564.9	0	0	0	2	1	0	0	3				233	228;900	True;True	249;956	685;686;2496;2497	457;458;1665	458;1665		

ENSMODG00000016946|ENSMODT00000021517	ENSMODG00000016946|ENSMODT00000021517	3	3	3	ENSMODG00000016946|ENSMODT00000021517	1	3	3	3	1	3	2	2	1	1	3	2	2	1	1	3	2	2	1	6.3	6.3	6.3	73.863	663	663	0	20.995	By MS/MS	By MS/MS	By matching	By matching	By MS/MS	2.6	6.3	4.7	4.7	2.6	1812500	231050	1205800	239350	69554	66802	0	16107	5069.3	5430.8	0	1	3	0	0	1	5				234	798;1125;1236	True;True;True	848;1197;1312	2248;3062;3063;3064;3365;3366;3367;3368;3369	1495;2039;2228;2229;2230	1495;2039;2230		

ENSMODG00000017214|ENSMODT00000021856;ENSMODG00000017596|ENSMODT00000022334	ENSMODG00000017214|ENSMODT00000021856	19;2	19;2	16;1	ENSMODG00000017214|ENSMODT00000021856	2	19	19	16	1	7	11	5	14	1	7	11	5	14	1	7	10	5	12	65.1	65.1	58.2	33.356	292	292;367	0	243.38	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	6.5	46.2	56.2	32.2	49.7	61429000	18846	4650900	32034000	1712600	23013000	0	95438	722260	301780	4195900	0	4	10	5	14	33				235	8;299;300;308;309;353;432;515;938;942;984;985;1088;1091;1092;1234;1235;1383;1384	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	8;325;326;334;335;381;467;554;1000;1004;1050;1051;1156;1159;1160;1310;1311;1470;1471	24;25;26;27;880;881;882;898;899;900;901;902;903;904;1033;1230;1231;1232;1233;1234;1452;2580;2589;2590;2591;2681;2682;2683;2684;2685;2964;2968;2969;2970;3359;3360;3361;3362;3363;3364;3755;3756	14;15;16;17;577;578;579;589;590;591;592;593;670;798;799;800;801;954;1726;1732;1733;1734;1801;1802;1803;1804;1967;1970;1971;2224;2225;2226;2227;2476;2477	15;577;579;589;591;670;798;954;1726;1732;1801;1804;1967;1970;1971;2224;2227;2476;2477		

ENSMODG00000017253|ENSMODT00000021907	ENSMODG00000017253|ENSMODT00000021907	31	11	9	ENSMODG00000017253|ENSMODT00000021907	1	31	11	9	7	24	24	8	15	4	9	10	1	5	4	7	8	0	5	66	26	22.8	32.936	285	285	0	162.07	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	21.4	57.2	56.8	26.3	35.4	564590000	767160	404170000	149520000	30680	10100000	611190	5610000	4028700	0	703620	3	11	12	0	4	30				236	5;71;93;177;196;206;535;536;537;567;568;642;643;714;719;750;751;752;758;806;807;869;892;893;919;920;1079;1169;1277;1487;1489	True;False;True;True;False;True;False;False;False;True;True;False;False;True;False;False;False;False;False;False;False;True;True;True;False;False;False;False;True;False;False	5;72;73;97;188;215;226;574;575;576;606;607;688;689;763;768;799;800;801;807;856;857;920;945;946;977;978;1146;1243;1357;1579;1581	16;17;18;189;190;191;192;193;269;530;531;532;587;588;589;590;591;613;614;615;616;617;618;1494;1495;1496;1497;1498;1499;1500;1501;1564;1565;1566;1567;1568;1569;1570;1784;1785;1786;1787;1788;1789;1790;1984;1985;1986;1987;1988;1989;1990;2013;2102;2103;2104;2105;2106;2107;2108;2109;2121;2122;2123;2124;2125;2126;2127;2128;2273;2274;2275;2276;2277;2278;2279;2280;2281;2282;2416;2417;2418;2469;2470;2471;2472;2473;2474;2475;2476;2477;2478;2479;2480;2481;2482;2483;2534;2535;2938;2939;2940;2941;3185;3186;3187;3188;3465;3466;4012;4013;4016;4017;4018;4019;4020;4021	10;128;129;130;131;132;175;348;349;392;393;408;409;410;411;986;987;988;989;990;991;1041;1042;1043;1044;1045;1194;1195;1196;1197;1198;1199;1328;1329;1330;1340;1397;1398;1399;1400;1401;1402;1409;1410;1411;1412;1510;1511;1512;1513;1514;1515;1516;1517;1608;1609;1644;1645;1646;1647;1648;1649;1650;1651;1652;1653;1691;1692;1948;1949;1950;2117;2118;2294;2295;2647;2648;2650;2651;2652;2653;2654	10;131;175;348;392;410;987;988;990;1041;1044;1196;1199;1329;1340;1398;1399;1402;1411;1511;1516;1608;1649;1653;1691;1692;1950;2118;2294;2647;2651	91	282

ENSMODG00000017397|ENSMODT00000022091	ENSMODG00000017397|ENSMODT00000022091	1	1	1	ENSMODG00000017397|ENSMODT00000022091	1	1	1	1	0	1	1	1	0	0	1	1	1	0	0	1	1	1	0	8.9	8.9	8.9	11.665	101	101	0	6.092		By MS/MS	By matching	By matching		0	8.9	8.9	8.9	0	323220	0	209460	81494	32262	0	0	0	0	2336.4	0	0	1	0	0	0	1				237	973	True	1037	2657;2658;2659	1787	1787		

ENSMODG00000017447|ENSMODT00000022154;ENSMODG00000005052|ENSMODT00000006346	ENSMODG00000017447|ENSMODT00000022154	3;1	2;1	2;1	ENSMODG00000017447|ENSMODT00000022154	2	3	2	2	0	2	2	0	2	0	1	1	0	1	0	1	1	0	1	4.1	2.8	2.8	94.666	829	829;816	0	11.458		By matching	By MS/MS		By MS/MS	0	2.3	2.3	0	3.1	298210	0	56284	103310	0	138620	0	0	0	0	26671	0	0	1	0	1	2				238	307;647;943	False;True;True	333;694;1005	895;896;897;1796;2592;2593	588;1204;1735	588;1204;1735		

ENSMODG00000017520|ENSMODT00000022239	ENSMODG00000017520|ENSMODT00000022239	3	3	3	ENSMODG00000017520|ENSMODT00000022239	1	3	3	3	0	3	3	0	0	0	3	3	0	0	0	3	3	0	0	34.8	34.8	34.8	14.515	132	132	0	74.312		By MS/MS	By MS/MS			0	34.8	34.8	0	0	4910400	0	2711000	2199400	0	0	0	35140	49681	0	0	0	1	3	0	0	4				239	33;785;867	True;True;True	34;835;918	84;85;2216;2217;2412;2413	58;59;1476;1606	58;1476;1606		

ENSMODG00000017558|ENSMODT00000022288	ENSMODG00000017558|ENSMODT00000022288	3	3	3	ENSMODG00000017558|ENSMODT00000022288	1	3	3	3	0	3	3	0	0	0	3	3	0	0	0	3	3	0	0	9.4	9.4	9.4	38.376	351	351	0	18.18		By MS/MS	By MS/MS			0	9.4	9.4	0	0	632560	0	373450	259110	0	0	0	5150.8	5574.4	0	0	0	2	1	0	0	3				240	102;393;1422	True;True;True	108;424;1510	305;306;1125;1126;3864;3865	198;733;2544	198;733;2544		

ENSMODG00000017689|ENSMODT00000031048	ENSMODG00000017689|ENSMODT00000031048	1	1	1	ENSMODG00000017689|ENSMODT00000031048	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0.3	0.3	0.3	826.81	7277	7277	0	17.775		By MS/MS	By matching	By matching	By matching	0	0.3	0.3	0.3	0.3	372190	0	169110	140750	28383	33948	0	0	0	0	6532.1	0	1	0	0	0	1				241	1314	True	1396	3565;3566;3567;3568	2354	2354		

ENSMODG00000017834|ENSMODT00000022624	ENSMODG00000017834|ENSMODT00000022624	7	7	5	ENSMODG00000017834|ENSMODT00000022624	1	7	7	5	0	5	6	1	3	0	5	6	1	3	0	3	4	1	1	6.8	6.8	5.7	100.56	887	887	0	46.393		By MS/MS	By MS/MS	By MS/MS	By MS/MS	0	6	6.2	2.3	3.3	1794600	0	352360	1165200	84653	192430	0	8841	21452	0	36983	0	1	5	1	1	8				242	23;307;368;676;677;1196;1309	True;True;True;True;True;True;True	23;333;396;725;726;1270;1391	58;59;60;895;896;897;1067;1068;1069;1886;1887;1888;3266;3267;3555	44;588;691;1268;1269;2167;2168;2349	44;588;691;1268;1269;2167;2349		

ENSMODG00000017937|ENSMODT00000022761	ENSMODG00000017937|ENSMODT00000022761	1	1	1	ENSMODG00000017937|ENSMODT00000022761	1	1	1	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	2.2	2.2	2.2	72.313	673	673	0	6.3624			By matching		By MS/MS	0	0	2.2	0	2.2	358840	0	0	267020	0	91821	0	0	0	0	17667	0	0	0	0	1	1				243	406	True	439	1154;1155	752	752		

ENSMODG00000018137|ENSMODT00000023012	ENSMODG00000018137|ENSMODT00000023012	1	1	1	ENSMODG00000018137|ENSMODT00000023012	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1.1	1.1	1.1	91.06	808	808	1	-2					By MS/MS	0	0	0	0	1.1	10770	0	0	0	0	10770	0	0	0	0	2072.2	0	0	0	0	0	0	+			244	347	True	375	1022	662	662	129	66

REV__ENSMODG00000013728|ENSMODT00000041979;REV__ENSMODG00000013728|ENSMODT00000017482;ENSMODG00000018158|ENSMODT00000023039	REV__ENSMODG00000013728|ENSMODT00000041979;REV__ENSMODG00000013728|ENSMODT00000017482;ENSMODG00000018158|ENSMODT00000023039	1;1;1	1;1;1	1;1;1	ENSMODG00000013728|ENSMODT00000041979;ENSMODG00000013728|ENSMODT00000017482;ENSMODG00000018158|ENSMODT00000023039	3	1	1	1	0	1	1	1	0	0	1	1	1	0	0	1	1	1	0	0.3	0.3	0.3	136.68	1261	1261;1349;2233	0.0072727	5.6937		By MS/MS	By matching	By matching		0	0.3	0.3	0.3	0	36201000	0	35885000	28084	287960	0	0	0	0	20854	0	0	1	0	0	0	1				245	1036	True	1102	2817;2818;2819	1885	1885		

ENSMODG00000018248|ENSMODT00000023158;ENSMODG00000022963|ENSMODT00000021860	ENSMODG00000018248|ENSMODT00000023158	9;2	6;0	6;0	ENSMODG00000018248|ENSMODT00000023158	2	9	6	6	0	5	6	1	6	0	5	5	1	4	0	5	5	1	4	38.2	31.7	31.7	34.609	309	309;326	0	70.984		By MS/MS	By MS/MS	By matching	By MS/MS	0	31.7	36.6	6.1	28.2	5745500	0	1037700	1883700	64690	2759400	0	12211	40749	0	533230	0	1	4	0	4	9				246	226;299;300;354;383;431;938;998;1233	True;False;False;True;True;True;False;True;True	247;325;326;382;411;466;1000;1064;1309	681;682;880;881;882;1034;1097;1098;1099;1226;1227;1228;1229;2580;2709;2710;3356;3357;3358	454;577;578;579;671;711;712;797;1726;1818;2221;2222;2223	454;577;579;671;711;797;1726;1818;2222		

ENSMODG00000018282|ENSMODT00000023200	ENSMODG00000018282|ENSMODT00000023200	2	1	1	ENSMODG00000018282|ENSMODT00000023200	1	2	1	1	0	2	2	1	0	0	1	1	0	0	0	1	1	0	0	11	6.5	6.5	28.45	245	245	0.0074349	5.736		By matching	By MS/MS	By matching		0	11	11	4.5	0	603890	0	395620	208270	0	0	0	0	4553.8	0	0	0	0	0	0	0	0				247	1021;1455	False;True	1087;1545	2765;2766;2767;3938;3939	1855;2597	1855;2597		

ENSMODG00000018525|ENSMODT00000023512	ENSMODG00000018525|ENSMODT00000023512	2	2	2	ENSMODG00000018525|ENSMODT00000023512	1	2	2	2	0	1	2	0	0	0	1	2	0	0	0	1	2	0	0	1.9	1.9	1.9	163.91	1440	1440	0	15.051		By matching	By MS/MS			0	0.8	1.9	0	0	279290	0	26452	252840	0	0	0	0	5528.4	0	0	0	0	2	0	0	2				248	26;1402	True;True	26;1490	67;3806;3807	48;2506	48;2506		

ENSMODG00000018526|ENSMODT00000023514	ENSMODG00000018526|ENSMODT00000023514	1	1	1	ENSMODG00000018526|ENSMODT00000023514	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	2.2	2.2	2.2	60.059	553	553	0	8.9441		By MS/MS				0	2.2	0	0	0	103840	0	103840	0	0	0	0	1406.8	0	0	0	0	1	0	0	0	1				249	824	True	874	2318	1543	1543		

ENSMODG00000018533|ENSMODT00000023534	ENSMODG00000018533|ENSMODT00000023534	1	1	1	ENSMODG00000018533|ENSMODT00000023534	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	6.1	6.1	6.1	50.183	462	462	0	6.2497		By MS/MS				0	6.1	0	0	0	166470	0	166470	0	0	0	0	2255.5	0	0	0	0	1	0	0	0	1				250	1126	True	1198	3065	2040	2040		

